Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
2.615095,,,,,,,,,,,30,7,0,0,0,560,-3,37,638682351680000000,-1,1,178000
2.616541,,,,,,,,,,,55,9,0,0,0,560,-3,37,638682351680000000,-1,1,178000
2.657247,,,62568,436,,,,,,,,,,,,,,,,,,
2.658473,,,,,,,,,62568,312,,,,,,,,,,,,
2.659696,,,,,,,62568,353,,,,,,,,,,,,,,
2.661164,62568,556,,,,,,,,,,,,,,,,,,,,
2.662229,,,,,62568,118,,,,,,,,,,,,,,,,
2.751709,,,,,,,62616,345,,,,,,,,,,,,,,
2.752913,62616,545,,,,,,,,,,,,,,,,,,,,
2.754259,,,,,62616,123,,,,,,,,,,,,,,,,
2.758561,,,62616,429,,,,,,,,,,,,,,,,,,
2.759781,,,,,,,,,62616,302,,,,,,,,,,,,
2.819115,,,,,,,,,,,86,11,0,0,0,560,-3,37,638682351680000000,-1,1,178000
2.850353,,,,,,,,,62664,307,,,,,,,,,,,,
2.851371,,,62664,427,,,,,,,,,,,,,,,,,,
2.851739,,,,,,,62664,334,,,,,,,,,,,,,,
2.853795,62664,548,,,,,,,,,,,,,,,,,,,,
2.854146,,,,,62664,133,,,,,,,,,,,,,,,,
2.884105,,,,,,,,,,,133,14,0,0,0,560,-3,37,638682351680000000,-1,1,178000
2.903135,,,,,,,,,,,177,17,0,0,0,560,-3,37,638682351680000000,-1,1,178000
2.943702,,,,,,,62712,345,,,,,,,,,,,,,,
2.943812,,,,,,,,,62712,303,,,,,,,,,,,,
2.945240,,,,,62712,106,,,,,,,,,,,,,,,,
2.945351,62712,544,,,,,,,,,,,,,,,,,,,,
2.950882,,,62712,422,,,,,,,,,,,,,,,,,,
3.000115,,,,,,,,,,,233,20,0,0,0,560,-3,37,638682351690000000,-1,1,178000
3.042005,,,62760,415,,,,,,,,,,,,,,,,,,
3.043230,,,,,,,,,62760,296,,,,,,,,,,,,
3.044694,,,,,,,62760,370,,,,,,,,,,,,,,
3.045911,,,,,62760,149,,,,,,,,,,,,,,,,
3.046022,62760,527,,,,,,,,,,,,,,,,,,,,
3.135684,,,,,,,62808,358,,,,,,,,,,,,,,
3.135795,,,,,,,,,62808,307,,,,,,,,,,,,
3.137225,62808,514,,,,,,,,,,,,,,,,,,,,
