37,1101,437
37.2,1104,468
37.4,1113,475
37.6,1126,496
37.8,1127,501
38,1132,499
38.2,1148,522
38.4,1163,535
38.6,1168,525
38.8,1176,525
39,1186,518
39.2,1194,518
39.4,1195,512
39.6,1211,501
39.8,1227,495
40,1231,492
40.2,1240,494
40.4,1250,497
40.6,1257,493
40.8,1268,488
41,1285,462
41.2,1298,456
41.4,1300,456
41.6,1301,481
41.8,1307,485
42,1319,488
42.2,1333,477
42.4,1347,477
42.6,1353,477
42.8,1366,457
43,1376,455
43.2,1377,451
43.4,1376,466
43.6,1375,471
43.8,1374,482
44,1374,482
44.2,1382,465
44.4,1390,436
44.6,1390,427
44.8,1383,427
45,1360,469
45.2,1333,504
45.4,1323,506
45.6,1307,527
45.8,1307,527
46,1304,478
46.2,1299,478
46.4,1291,477
46.6,1262,544
46.8,1256,549
47,1242,549
47.2,1229,546
47.4,1228,546
47.6,1226,552
47.8,1220,540
48,1212,544
48.2,1207,551
48.4,1205,544
48.6,1205,544
48.8,1206,545
49,1206,547
49.2,1201,576
49.4,1201,576
49.6,1203,565
49.8,1217,503
50,1221,476
50.2,1221,476
50.4,1215,492
50.6,1201,542
50.8,1185,602
51,1185,609
51.2,1187,609
51.4,1200,570
51.6,1211,519
51.8,1211,509
52,1205,509
52.2,1178,535
52.4,1160,547
52.6,1157,547
52.8,1157,526
53,1163,480
53.2,1161,420
53.4,1156,386
53.6,1139,386
53.8,1130,403
54,1121,429
54.2,1110,451
54.4,1098,459
54.6,1087,473
54.8,1076,473
55,1072,494
55.2,1072,514
55.4,1072,523
55.6,1072,524
55.8,1072,523
56,1068,522
56.2,1061,523
56.4,1058,524
56.6,1058,535
56.8,1058,536
57,1060,538
57.2,1061,536
57.4,1062,536
57.6,1061,540
57.8,1060,543
58,1059,546
58.2,1057,549
58.4,1059,547
58.6,1061,528
58.8,1062,497
59,1062,497
59.2,1045,500
59.4,1030,501
59.6,1030,501
59.8,1029,486
60,1028,486
60.2,1022,481
60.4,1016,478
60.6,1016,476
60.8,1010,438
61,1009,427
61.2,995,422
61.4,980,424
61.6,972,430
61.8,962,416
62,956,396
62.2,955,382
62.4,953,382
62.6,951,386
62.8,944,394
63,930,403
63.2,918,410
63.4,904,416
63.6,892,423
63.8,890,424
64,887,424
64.2,882,424
64.4,865,436
64.6,849,443
64.8,847,447
65,846,443
65.2,845,437
65.4,841,440
65.6,830,434
65.8,818,425
66,810,431
66.2,806,428
66.4,804,418
66.6,801,417
66.8,798,413
67,795,413
67.2,787,424
67.4,782,430
67.6,780,431
67.8,778,431
68,776,427
68.2,774,419
68.4,769,419
68.6,760,424
68.8,751,439
69,743,446
69.2,739,446
69.4,739,446
69.6,742,432
69.8,746,423
70,749,421
70.2,752,421
70.4,760,412
70.6,776,397
70.8,786,397
71,787,409
71.2,794,422
71.4,804,422
71.6,812,422
71.8,816,429
72,822,426
72.2,841,431
72.4,857,425
72.6,860,425
72.8,861,432
73,862,435
73.2,869,435
73.4,877,432
73.6,885,415
73.8,894,409
74,903,409
74.2,915,408
74.4,931,412
74.6,943,414
74.8,945,414
75,948,414
75.2,958,410
75.4,967,416
75.6,971,416
75.8,975,439
76,981,447
76.2,987,451
76.4,991,447
76.6,996,440
76.8,999,434
77,1001,433
77.2,1002,436
77.4,1012,436
77.6,1028,427
77.8,1037,426
78,1037,426
78.2,1043,442
78.4,1049,459
78.6,1054,476
78.8,1054,501
79,1049,546
79.2,1038,581
